activo,franja,estrategia,IS_n,IS_pnlR,IS_win,IS_PF,IS_DD,OOS_n,OOS_pnlR,OOS_win,OOS_PF,OOS_DD
BTCUSDm,00-02,RSI2,147,7.0,34.0,1.08,-12.0,132,15.0,37.1,1.18,-12.0
BTCUSDm,00-02,VWAP,233,26.0,36.9,1.18,-20.0,214,39.0,39.3,1.3,-10.0
BTCUSDm,02-04,FVG,82,-69.0,4.9,0.1,-70.0,83,-50.0,13.3,0.31,-53.0
BTCUSDm,02-04,BREAK24,117,13.0,36.8,1.18,-16.0,90,12.0,37.8,1.21,-10.0
BTCUSDm,02-04,RETEST24,124,11.0,36.3,1.14,-14.0,112,-3.0,32.1,0.96,-11.0
BTCUSDm,02-04,MOMEMA,271,26.0,36.2,1.15,-24.0,237,-7.0,32.1,0.96,-18.0
BTCUSDm,02-04,RSI2,120,8.0,35.0,1.11,-25.0,92,0.0,32.6,1.0,-17.0
BTCUSDm,02-04,VWAP,106,5.0,34.9,1.07,-10.0,107,-13.0,29.0,0.83,-16.0
BTCUSDm,04-06,FVG,88,-72.0,5.7,0.12,-71.0,72,-59.0,5.6,0.12,-58.0
BTCUSDm,04-06,BREAK24,129,2.0,33.3,1.02,-12.0,102,36.0,45.1,1.64,-6.0
BTCUSDm,04-06,RETEST24,143,-3.0,32.2,0.97,-18.0,130,-3.0,32.3,0.97,-22.0
BTCUSDm,04-06,MOMEMA,276,42.0,38.0,1.25,-16.0,239,59.0,41.4,1.42,-10.0
BTCUSDm,04-06,RSI2,129,3.0,33.3,1.04,-13.0,111,-17.0,27.9,0.78,-25.0
BTCUSDm,04-06,VWAP,89,5.0,34.8,1.09,-15.0,82,20.0,41.5,1.42,-6.0
BTCUSDm,06-08,FVG,95,-60.0,11.6,0.27,-61.0,74,-53.0,9.5,0.21,-54.0
BTCUSDm,06-08,BREAK24,129,14.0,36.4,1.18,-9.0,126,20.0,38.1,1.26,-12.0
BTCUSDm,06-08,RETEST24,122,-16.0,28.7,0.81,-31.0,141,-13.0,29.8,0.87,-21.0
BTCUSDm,06-08,MOMEMA,283,42.0,37.8,1.24,-13.0,250,13.0,34.8,1.08,-19.0
BTCUSDm,06-08,RSI2,134,-13.0,29.9,0.86,-24.0,136,-11.0,30.1,0.88,-16.0
BTCUSDm,06-08,VWAP,72,28.0,45.8,1.74,-6.0,61,-4.0,31.1,0.9,-12.0
BTCUSDm,08-10,FVG,80,-61.0,7.5,0.16,-64.0,65,-47.0,9.2,0.2,-46.0
BTCUSDm,08-10,BREAK24,147,7.0,34.7,1.07,-9.0,103,32.0,43.7,1.55,-8.0
BTCUSDm,08-10,RETEST24,155,10.0,35.5,1.1,-13.0,120,18.0,38.3,1.24,-12.0
BTCUSDm,08-10,MOMEMA,301,47.0,38.2,1.26,-15.0,250,83.0,44.4,1.6,-9.0
BTCUSDm,08-10,RSI2,150,2.0,33.3,1.02,-18.0,106,-18.0,27.4,0.76,-24.0
BTCUSDm,08-10,VWAP,57,3.0,35.1,1.08,-11.0,68,13.0,39.7,1.32,-7.0
BTCUSDm,10-12,FVG,69,-42.0,13.0,0.3,-41.0,76,-48.0,11.8,0.27,-47.0
BTCUSDm,10-12,BREAK24,124,6.0,34.7,1.08,-11.0,106,-4.0,32.1,0.94,-22.0
BTCUSDm,10-12,RETEST24,150,-52.0,21.3,0.55,-53.0,123,-1.0,32.5,0.99,-19.0
BTCUSDm,10-12,MOMEMA,287,35.0,37.3,1.2,-12.0,243,-1.0,32.9,0.99,-35.0
