activo,franja,estrat,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
XAUUSDm,02-04,MOMEMA,3.0,24,641,53.0,25.6,1.12,-46.0,355,28.0,25.4,1.12,-20.0,296,-14.0,21.3,0.93,-32.0
XAUUSDm,02-04,MOMEMA,3.0,48,641,91.0,28.5,1.2,-36.0,355,49.0,28.5,1.19,-19.0,296,13.0,26.0,1.06,-24.0
XAUUSDm,02-04,EMACROSS,2.0,24,90,31.0,44.4,1.63,-7.0,68,2.0,33.8,1.05,-10.0,45,2.0,33.3,1.07,-14.0
XAUUSDm,02-04,EMACROSS,2.0,48,90,33.0,45.6,1.67,-7.0,68,1.0,33.8,1.02,-11.0,45,6.0,37.8,1.21,-12.0
XAUUSDm,02-04,EMACROSS,2.5,24,90,32.0,37.8,1.6,-6.0,68,10.0,32.4,1.22,-9.0,45,-2.5,24.4,0.92,-18.0
XAUUSDm,02-04,EMACROSS,2.5,48,90,36.0,40.0,1.67,-6.0,68,9.0,32.4,1.2,-10.0,45,4.0,31.1,1.13,-13.0
XAUUSDm,02-04,EMACROSS,3.0,24,90,39.0,34.4,1.72,-7.0,68,15.0,29.4,1.33,-8.0,45,-4.0,20.0,0.87,-17.0
XAUUSDm,02-04,EMACROSS,3.0,48,90,46.0,37.8,1.82,-7.0,68,16.0,30.9,1.34,-9.0,45,0.0,24.4,1.0,-18.0
XAUUSDm,02-04,RETEST24,2.0,24,378,-23.0,31.0,0.91,-40.0,212,-13.0,30.7,0.91,-28.0,192,-13.0,30.2,0.9,-20.0
XAUUSDm,02-04,RETEST24,2.0,48,378,-21.0,31.5,0.92,-39.0,212,-8.0,32.1,0.94,-26.0,192,-9.0,31.8,0.93,-16.0
XAUUSDm,02-04,RETEST24,2.5,24,375,-42.0,24.5,0.85,-52.5,210,-13.0,25.7,0.91,-39.0,192,-16.5,24.5,0.88,-18.5
XAUUSDm,02-04,RETEST24,2.5,48,375,-27.5,26.4,0.9,-44.5,210,-7.0,27.6,0.95,-35.0,192,-6.5,27.6,0.95,-16.5
XAUUSDm,02-04,RETEST24,3.0,24,371,-54.0,19.9,0.8,-68.0,207,-29.0,19.8,0.81,-40.0,188,-16.0,20.7,0.88,-23.0
XAUUSDm,02-04,RETEST24,3.0,48,371,-42.0,22.1,0.85,-61.0,207,-18.0,22.7,0.89,-33.0,188,0.0,25.0,1.0,-19.0
XAUUSDm,02-04,RETEST48,2.0,24,310,1.0,32.9,1.0,-33.0,161,-3.0,31.7,0.97,-16.0,139,-8.0,30.2,0.91,-18.0
XAUUSDm,02-04,RETEST48,2.0,48,310,5.0,33.9,1.02,-30.0,161,1.0,33.5,1.01,-16.0,139,-4.0,32.4,0.96,-13.0
XAUUSDm,02-04,RETEST48,2.5,24,308,-6.5,26.9,0.97,-31.5,159,-7.5,25.8,0.93,-29.0,139,-20.5,22.3,0.79,-27.0
XAUUSDm,02-04,RETEST48,2.5,48,308,8.0,29.2,1.04,-31.0,159,-1.5,28.3,0.99,-29.5,139,-13.0,25.9,0.87,-22.0
XAUUSDm,02-04,RETEST48,3.0,24,305,-32.0,20.7,0.86,-48.0,158,-21.0,19.6,0.82,-30.0,138,-23.0,18.1,0.77,-28.0
XAUUSDm,02-04,RETEST48,3.0,48,305,-20.0,23.3,0.91,-40.0,158,-12.0,22.8,0.9,-27.0,138,-10.0,23.2,0.91,-24.0
XAUUSDm,02-04,VWAP,2.0,24,245,13.0,34.7,1.08,-25.0,153,15.0,35.9,1.16,-17.0,106,7.0,34.9,1.1,-12.0
XAUUSDm,02-04,VWAP,2.0,48,245,13.0,35.1,1.08,-25.0,153,18.0,37.3,1.19,-16.0,106,11.0,36.8,1.16,-12.0
