entry_time,exit_time,type,entry,sl,tp,vol,pnl,result
1771334220,1771336620,buy,4917.11,4895.193036181495,4971.447409546262,0.27,-5.917580230996319,-1
1771337700,1771339920,sell,4896.3895,4871.957708102535,4836.5124768499,0.24,5.86363005539155,-1
1771341540,1771354500,sell,4872.241999999999,4896.58798002718,4811.832049932049,0.24,-5.843035206523273,-1
1771354800,1771369440,sell,4897.927,4871.544383735732,4837.641360269399,0.24,6.331827903424346,-1
1771369500,1771387680,buy,4869.4755000000005,4921.244980632053,4925.061239244946,0.26,14.452292203685756,1
1771391340,1771411080,buy,4931.9695,4912.266228061907,4980.772679845233,0.3,-5.91098158142795,-1
1771412400,1771419900,buy,4914.731500000001,4947.7048164831085,4955.119912385251,0.37,12.200127098749864,-1
1771421400,1771426980,buy,4956.9285,4997.614279518599,5000.120335168915,0.34,14.685223957430972,1
1771430400,1771442880,buy,4998.463500000001,4980.330052497653,5043.34211875587,0.33,-5.984037675774753,-1
1771443180,1771485420,buy,4978.143,5017.155086548336,5021.296212611751,0.34,13.264109426434207,-1
1771488900,1771496160,sell,5011.0255,4989.288667670033,4975.200589377405,0.4,8.6947329319868,-1
1771498800,1771510200,buy,4992.7425,4977.919524105271,5029.344939736822,0.4,-5.929190357891639,-1
1771510620,1771512540,sell,4981.0585,4997.643804971108,4940.050237572231,0.36,-5.970709789598768,-1
1771513200,1771525980,sell,5005.5070000000005,4981.6973285459135,4963.667184888501,0.35,8.333385008930463,-1
1771527600,1771536060,buy,4982.048,4997.1251646081,5021.771667570792,0.37,5.578550904997091,-1
1771542060,1771570500,buy,4998.7570000000005,5025.641415846715,5037.224665325449,0.38,10.216078021751528,-1
1771570740,1771575120,buy,5021.5365,5006.618163386861,5058.377341532848,0.4,-5.967334645255687,-1
1771581600,1771590600,buy,5028.0225,5012.727922542485,5065.803943643786,0.39,-5.9648852084306965,-1
1771590900,1771596120,buy,5021.975,5043.236666111557,5059.884642733672,0.39,8.292049783506927,-1
1771599600,1771599780,buy,5053.6410000000005,5034.310263398561,5101.5128415036,0.31,-5.992528346446288,-1
1771603200,1771605180,sell,5041.4965,5061.20261255848,4992.686218603801,0.3,-5.911833767543885,-1
1771622100,1771801800,buy,5092.801,5133.038892926739,5137.7715377120385,0.33,14.840277444972571,1
1771808400,1771815000,buy,5143.211,5168.63975747455,5196.2184385398505,0.28,7.120052092873848,-1
1771829700,1771832280,buy,5147.1995,5128.342792720461,5193.886268198847,0.32,-6.034146329452342,-1
1771837200,1771852020,buy,5141.0355,5157.840467461981,5186.144228765622,0.33,5.545639262453597,-1
1771853460,1771857060,sell,5151.4345,5168.993901877082,5107.9909953072965,0.34,-5.970196638207763,-1
1771862400,1771881240,buy,5193.8615,5232.054651909323,5245.3587688811485,0.29,11.076014053703728,-1
1771882260,1771895040,buy,5227.7300000000005,5209.293592806057,5273.366017984858,0.32,-5.899650302061928,-1
1771897500,1771935720,sell,5175.375499999999,5157.426710480203,5121.931153967663,0.27,4.846173170344992,-1
1771936200,1771941180,sell,5162.893499999999,5130.589275229441,5117.865612913705,0.33,10.66039417428414,-1
1771943580,1771946460,sell,5119.965499999999,5140.949550852211,5067.96037286947,0.28,-5.875534238619367,-1
1771948800,1771965300,sell,5149.784500000001,5171.098705071551,5096.953987321126,0.28,-5.967977420034149,-1
1771965900,1771968720,buy,5171.524,5151.526731730307,5221.062170674233,0.3,-5.999180480908035,-1
1771969020,1771982640,buy,5147.3045,5179.728064815113,5196.931372768931,0.3,9.727069444533754,-1
1771992000,1771999200,buy,5182.658,5201.162335302878,5231.063968298834,0.3,5.55130059086332,-1
1772001000,1772018520,sell,5189.8125,5161.812110161372,5141.606884477026,0.31,8.680120849974555,-1
1772018580,1772022900,buy,5163.4710000000005,5179.148061993011,5209.321886175351,0.32,5.016659837763291,-1
1772022960,1772040060,buy,5178.9065,5212.4843426896,5222.87275144854,0.34,11.416466514464137,-1
1772050500,1772052300,buy,5193.8859999999995,5174.846343424274,5241.0301414393125,0.31,-5.902293538474915,-1
1772054100,1772060940,sell,5161.4455,5180.476238248888,5114.32365437778,0.31,-5.899528857155328,-1
1772064000,1772065500,sell,5160.750499999999,5180.341565122765,5112.227837193085,0.3,-5.8773195368297815,-1
1772067600,1772095740,sell,5191.472000000001,5176.56799815207,5143.637384536438,0.31,4.620240572858575,-1
